"LEVEL"|"ENV"|"COID"|"PART NUMBER"|"PART VERSION"|"MATURITY"|"DESCRIPTION"|"TYPE"|"LINK"|"SOURCE"|"CHILD ENV"|"CHILD COID"|"CHILD PART NUMBER"|"CHILD PART VERSION"|"CHILD MATURITY"|"CHILD DESCRIPTION"|"CHILD TYPE"
"1"|"DEFINITN"|"3D3DC2DB494C4333"|"AK00002600895"|"'--C"|"WORKING"|"VARIANT 3 - DUAL OR SINGLE FAN APS AREA"|"ASSEMBLY"|"HAS LINKS"|"REGULAR"|"DEFINITN"|"3D3DC1F213122316"|"AK00002600899"|"'--B"|"RELEASED"|"VARIANT 3.1 - DUAL FAN IP20 APS 24VDC"|"ASSEMBLY"
"1"|"DEFINITN"|"3D3DC2DB494C4333"|"AK00002600895"|"'--C"|"WORKING"|"VARIANT 3 - DUAL OR SINGLE FAN APS AREA"|"ASSEMBLY"|"HAS LINKS"|"REGULAR"|"DEFINITN"|"3D3DC2C8BDE8174B"|"AK00002600901"|"'--C"|"RELEASED"|"VARIANT 3.2 - SINGLE FAN IP20 APS 400VAC"|"ASSEMBLY"
"1"|"DEFINITN"|"3D3DC2DB494C4333"|"AK00002600895"|"'--C"|"WORKING"|"VARIANT 3 - DUAL OR SINGLE FAN APS AREA"|"ASSEMBLY"|"HAS LINKS"|"REGULAR"|"DESIGN"|"3D3DC2DB49566C2F"|"AKD0002601361"|"'--C"|"WORKING"|"VARIANT 2.2.2 - DUAL OR SINGLE FAN CVS ZONE"|"DRAWING"
"2"|"DEFINITN"|"3D3DC2C8BDE8174B"|"AK00002600901"|"'--C"|"RELEASED"|"VARIANT 3.2 - SINGLE FAN IP20 APS 400VAC"|"ASSEMBLY"|"HAS LINKS"|"REGULAR"|"DEFINITN"|"3D3DC2C8D72366C8"|"AK00002590093"|"'--B"|"RELEASED"|"SHEET ASSEMBLY - COVER FAN"|"ASSEMBLY"
"2"|"DEFINITN"|"3D3DC2C8BDE8174B"|"AK00002600901"|"'--C"|"RELEASED"|"VARIANT 3.2 - SINGLE FAN IP20 APS 400VAC"|"ASSEMBLY"|"HAS LINKS"|"REGULAR"|"DEFINITN"|"3D3DC22EB6481495"|"AK00002591816"|"'--B"|"RELEASED"|"GASKET"|"SINGLE PART"
"2"|"DEFINITN"|"3D3DC2C8BDE8174B"|"AK00002600901"|"'--C"|"RELEASED"|"VARIANT 3.2 - SINGLE FAN IP20 APS 400VAC"|"ASSEMBLY"|"HAS LINKS"|"REGULAR"|"DEFINITN"|"3D3DC2CB59AA5C8A"|"AK00002596414"|"'--C"|"RELEASED"|"VARIANT 3.2 - SINGLE FAN 400VAC HARNESS"|"ASSEMBLY"
"2"|"DEFINITN"|"3D3DC2C8BDE8174B"|"AK00002600901"|"'--C"|"RELEASED"|"VARIANT 3.2 - SINGLE FAN IP20 APS 400VAC"|"ASSEMBLY"|"HAS LINKS"|"REGULAR"|"DEFINITN"|"3D3DC2CA2A262AA7"|"AK00002616444"|"'--A"|"RELEASED"|"MACHINED - SYMMETRICAL RAIL TS35 X 15 EP 1.5"|"SINGLE PART"
"2"|"DEFINITN"|"3D3DC2C8BDE8174B"|"AK00002600901"|"'--C"|"RELEASED"|"VARIANT 3.2 - SINGLE FAN IP20 APS 400VAC"|"ASSEMBLY"|"HAS LINKS"|"REGULAR"|"DEFINITN"|"0D00952C259060D1"|"AKD0002590083"|"'--A"|"RELEASED"|"WIRING SUPPORT"|"DITTO ASSY"
"2"|"DEFINITN"|"3D3DC2C8BDE8174B"|"AK00002600901"|"'--C"|"RELEASED"|"VARIANT 3.2 - SINGLE FAN IP20 APS 400VAC"|"ASSEMBLY"|"HAS LINKS"|"REGULAR"|"DEFINITN"|"0D00952C26C07D1A"|"AKD0002590084"|"'--A"|"RELEASED"|"ELECTRICAL COMPONENTS"|"DITTO ASSY"
"2"|"DEFINITN"|"3D3DC2C8BDE8174B"|"AK00002600901"|"'--C"|"RELEASED"|"VARIANT 3.2 - SINGLE FAN IP20 APS 400VAC"|"ASSEMBLY"|"HAS LINKS"|"REGULAR"|"DEFINITN"|"0D00C2DB6DF610E3"|"AKD0002590085"|"'--C"|"RELEASED"|"MECHANICAL FASTENERS"|"DITTO ASSY"
"2"|"DEFINITN"|"3D3DC2C8BDE8174B"|"AK00002600901"|"'--C"|"RELEASED"|"VARIANT 3.2 - SINGLE FAN IP20 APS 400VAC"|"ASSEMBLY"|"HAS LINKS"|"REGULAR"|"DEFINITN"|"0D00C2DB6E184516"|"AKD0002590086"|"'--C"|"RELEASED"|"ELECTRICAL FASTENERS"|"DITTO ASSY"
"2"|"DEFINITN"|"3D3DC2C8BDE8174B"|"AK00002600901"|"'--C"|"RELEASED"|"VARIANT 3.2 - SINGLE FAN IP20 APS 400VAC"|"ASSEMBLY"|"HAS LINKS"|"REGULAR"|"DESIGN"|"3D3DC027193C385A"|"AKD0002590083"|"'--A"|"RELEASED"|"WIRING SUPPORT"|"DITTO"
"2"|"DEFINITN"|"3D3DC2C8BDE8174B"|"AK00002600901"|"'--C"|"RELEASED"|"VARIANT 3.2 - SINGLE FAN IP20 APS 400VAC"|"ASSEMBLY"|"HAS LINKS"|"REGULAR"|"DESIGN"|"3D3DC02719553F3F"|"AKD0002590084"|"'--A"|"RELEASED"|"ELECTRICAL COMPONENTS"|"DITTO"
"2"|"DEFINITN"|"3D3DC2C8BDE8174B"|"AK00002600901"|"'--C"|"RELEASED"|"VARIANT 3.2 - SINGLE FAN IP20 APS 400VAC"|"ASSEMBLY"|"HAS LINKS"|"REGULAR"|"DESIGN"|"3D3DC2CA2BA16FDB"|"AKD0002590085"|"'--C"|"RELEASED"|"MECHANICAL FASTENERS"|"DITTO"
"2"|"DEFINITN"|"3D3DC2C8BDE8174B"|"AK00002600901"|"'--C"|"RELEASED"|"VARIANT 3.2 - SINGLE FAN IP20 APS 400VAC"|"ASSEMBLY"|"HAS LINKS"|"REGULAR"|"DESIGN"|"3D3DC2C8BDDB1C0F"|"AKD0002590086"|"'--C"|"RELEASED"|"ELECTRICAL FASTENERS"|"DITTO"
