Parent Type,Parent Name,Parent Version,Child Name,Qty in DMA,Qty in PLM,Diff
DITTO,AKD0002613437,--A,DTR0009907842,1,0,1
DITTO,AKD0002590086,--B,DTR0009907772,0,1,-1
DITTO,AKD0002590086,--B,DTR0009907741,0,1,-1
DITTO ASSY,AKD0002590085,--B,DTR0000521216,0,1,-1
DITTO ASSY,AKD0002590086,--B,DTR0000265009,0,1,-1
ASSEMBLY,AK00002600901,--C,AK00002590093,1,0,1
BOUGHT,DTR0009907233,--A,DTR0009907233,0,5,-5
DITTO ASSY,AKD0002590086,--C,DTR0009907237,1,0,1
DITTO ASSY,AKD0002590086,--C,DTR0000606817,1,0,1
ASSEMBLY,AK00002591912,--B,AKD0002591932,1,0,1
SINGLE PART,AK00002584514,--A,AKD0002584512,0,1,-1
DITTO,AKD0002596423,--A,DTR0000191036,1,0,1
ASSEMBLY,AK00002600895,--B,AK00002600899,0,1,-1
ASSEMBLY,AK00002590093,--A,AK00002596764,0,1,-1
DITTO,AKD0002600790,--A,DTR0000521214,4,0,4
DITTO ASSY,AKD0002590086,--B,DTR0009907295,0,1,-1
ASSEMBLY,AK00002600923,--B,AKD0002600926,1,0,1
DITTO ASSY,AKD0002590086,--B,DTR0009907792,0,1,-1
BOUGHT,DTR0000191036,--A,DTR0000191036,7,6,1
DITTO ASSY,AKD0002590086,--C,DTR0009907094,1,0,1
DITTO,AKD0002600790,--A,AKD0002600792,1,0,1
DITTO ASSY,AKD0002590086,--B,DTR0009908112,0,1,-1
DITTO ASSY,AKD0002590086,--B,DTR0009908114,0,1,-1
ASSEMBLY,AK00002600901,--B,AK00002584514,0,1,-1
BOUGHT,DTR0000260155,--A,DTR0000260155,3,2,1
DITTO ASSY,AKD0002590086,--B,DTR0000606823,0,1,-1
BOUGHT,DTR0000260154,--A,DTR0000260154,3,2,1
DITTO ASSY,AKD0002590086,--C,DTR0009907708,1,0,1
DITTO,AKD0002600790,--A,DTR0000521216,2,0,2
DITTO ASSY,AKD0002590085,--C,DTR0009907525,1,0,1
BOUGHT,DTR0000550274,--A,DTR0000550274,2,1,1
DITTO ASSY,AKD0002590086,--B,DTR0000521212,0,1,-1
DITTO ASSY,AKD0002590086,--B,DTR0009907709,0,1,-1
DITTO,AKD0002590085,--B,DTR0009907262,0,2,-2
ASSEMBLY,AK00002596414,--C,AK00002596419,1,0,1
DITTO ASSY,AKD0002590086,--B,DTR0000521214,0,1,-1
DITTO,AKD0002590085,--B,DTR0000521201,0,13,-13
DITTO ASSY,AKD0002590086,--C,DTR0009907059,1,0,1
ASSEMBLY,AK00002600901,--C,AKD0002590083,2,0,2
DITTO,AKD0002600924,--A,AKD0002600925,0,1,-1
DITTO ASSY,AKD0002590086,--B,DTR0000521208,0,1,-1
DITTO ASSY,AKD0002590085,--B,DTR0009907094,0,1,-1
ASSEMBLY,AK00002591912,--A,AK00002591916,0,1,-1
DITTO ASSY,AKD0002590085,--C,DTR0000521214,1,0,1
DITTO,AKD0002590086,--B,DTR0000265009,0,6,-6
DITTO ASSY,AKD0002590086,--B,DTR0009907842,0,1,-1
DITTO ASSY,AKD0002590086,--C,DTR0000606840,1,0,1
ASSEMBLY,AK00002590093,--A,AK00002591118,0,1,-1
ASSEMBLY,AK00002591912,--A,AK00002597506,0,1,-1
DITTO,AKD0002596420,--B,DTR0000340190,7,0,7
ASSEMBLY,AK00002600901,--B,AKD0002590084,0,2,-2
BOUGHT,DTR0009909559,--A,DTR0009909559,0,1,-1
ASSEMBLY,AK00002590093,--B,AK00002596764,1,0,1
DITTO ASSY,AKD0002590086,--C,DTR0000521218,1,0,1
DITTO ASSY,AKD0002590085,--C,DTR0009907328,1,0,1
DITTO ASSY,AKD0002590086,--B,DTR0009907228,0,1,-1
BOUGHT,DTR0009907056,--A,DTR0009907056,0,5,-5
BOUGHT,DTR0009908999,--A,DTR0009908999,2,0,2
ASSEMBLY,AK00002600895,--C,AKD0002601361,1,0,1
DITTO,AKD0002600936,--B,HHD0000043302,2,0,2
DITTO ASSY,AKD0002590086,--B,DTR0009907300,0,1,-1
ASSEMBLY,AK00002590093,--A,AK00002590109,0,1,-1
BOUGHT,DTR0000606829,--A,DTR0000606829,1,0,1
DITTO ASSY,AKD0002590085,--B,DTR0009907262,0,1,-1
DITTO ASSY,AKD0002590086,--C,DTR0009907740,1,0,1
DITTO,AKD0002590086,--B,DTR0009908112,0,1,-1
DITTO ASSY,AKD0002590086,--B,DTR0009445001,0,1,-1
DITTO,AKD0002596420,--B,HHD0000043300,1,0,1
DITTO,AKD0002590086,--B,DTR0000606823,0,6,-6
DITTO,AKD0002596420,--B,DTR0000191036,1,0,1
